"","name","material_type","seating_type","speed","height","length","num_inversions","manufacturer","park","status"
"1","Goudurix","Steel","Sit Down",75,37,950,7,"Vekoma","Parc Asterix","status.operating"
"2","Dream catcher","Steel","Suspended",45,25,600,0,"Vekoma","Bobbejaanland","status.operating"
"3","Alucinakis","Steel","Sit Down",30,8,250,0,"Zamperla","Terra Mítica","status.operating"
"4","Anaconda","Wooden","Sit Down",85,35,1200,0,"William J. Cobb","Walygator Parc","status.operating"
"5","Azteka","Steel","Sit Down",55,17,500,0,"Soquet","Le Pal","status.operating"
"6","Bat Coaster","Steel","Inverted",70,20,400,2,"Pinfari","Nigloland","status.relocated"
"7","Batman : Arkham Asylum","Steel","Inverted",80,32,823,5,"B&M","Parque Warner Madrid","status.operating"
"8","Big Thunder Mountain","Steel","Sit Down",60,22,1500,0,"Vekoma","Disneyland Park","status.operating"
"9","EqWalizer","Steel","Sit Down",76,36,285,3,"Vekoma","Walibi Rhône Alpes","status.operating"
"10","Calamity Mine","Steel","Sit Down",48,14,785,0,"Vekoma","Walibi Belgium","status.operating"
"12","Cobra","Steel","Sit Down",76,36,285,3,"Vekoma","Walibi Belgium","status.operating"
"13","Coccinelle","Steel","Sit Down",36,8,360,0,"Zierer","Walibi Rhône Alpes","status.operating"
"16","Course de Bobsleigh","Steel","Sit Down",65,15,450,0,"Schwarzkopf","Nigloland","status.relocated"
"19","Euro Mir","Steel","Spinning",80,28,980,0,"Mack","Europa Park","status.operating"
"20","Eurosat","Steel","Sit Down",60,26,877,0,"Mack","Europa Park","status.retracked"
"21","Expedition Ge Force","Steel","Sit Down",120,53,1220,0,"Intamin","Holiday Park","status.operating"
"22","Le Grand canyon","Steel","Sit Down",50,12,380,0,"Soquet","Fraispertuis City","status.operating"
"23","Indiana Jones et le Temple du Péril","Steel","Sit Down",58,18,566,1,"Intamin","Disneyland Park","status.operating"
"24","Jaguar","Steel","Inverted",83,34,689,5,"Vekoma","Isla Magica","status.operating"
"25","Cop Car Chase (1)","Steel","Sit Down",60,16,620,2,"Intamin","Movie Park Germany","status.closed.definitely"
"26","Loup Garou","Wooden","Sit Down",80,28,1035,0,"Vekoma","Walibi Belgium","status.operating"
"27","Magnus Colossus","Wooden","Sit Down",92,38,1150,0,"RCCA","Terra Mítica","status.closed.temporarily"
"28","Oki Doki","Steel","Sit Down",58,16,436,0,"Vekoma","Bobbejaanland","status.operating"
"29","SOS Numerobis","Steel","Sit Down",32,6,200,0,"Zierer","Parc Asterix","status.operating"
"30","Poseïdon","Steel","Water Coaster",70,23,836,0,"Mack","Europa Park","status.operating"
"31","Rock'n Roller Coaster avec Aerosmith","Steel","Sit Down",92,24,1037,3,"Vekoma","Walt Disney Studios","status.operating"
"32","La Ronde des Rondins","Steel","Sit Down",26,3,60,0,"Zierer","Parc Asterix","status.relocated"
"33","Silverstar","Steel","Sit Down",127,73,1620,0,"B&M","Europa Park","status.operating"
"34","Superman la Atraccion de Acero","Steel","Floorless",105,50,1200,7,"B&M","Parque Warner Madrid","status.operating"
"35","La Trace du Hourra","Steel","Bobsleigh",60,31,900,0,"Mack","Parc Asterix","status.operating"
"36","Stunt Fall","Steel","Sit Down",106,58,367,3,"Vekoma","Parque Warner Madrid","status.operating"
"37","Le Tigre de Sibérie","Steel","Sit Down",40,13,360,0,"Reverchon","Le Pal","status.operating"
"38","Titánide","Steel","Inverted",80,33,689,5,"Vekoma","Terra Mítica","status.operating"
"39","Tom y Jerry","Steel","Sit Down",36,8,360,0,"Zierer","Parque Warner Madrid","status.operating"
"40","Psyké underground","Steel","Sit Down",85,42,260,1,"Schwarzkopf","Walibi Belgium","status.operating"
"41","Tonnerre de Zeus","Wooden","Sit Down",84,30,1233,0,"CCI","Parc Asterix","status.operating"
"42","Tren Bravo (Left)","Steel","Sit Down",45,6,394,0,"Zamperla","Terra Mítica","status.closed.temporarily"
"43","Typhoon","Steel","Sit Down",80,26,670,4,"Gerstlauer","Bobbejaanland","status.operating"
"44","Schweizer Bobbahn","Steel","Bobsleigh",50,19,487,0,"Mack","Europa Park","status.operating"
"45","Vampire","Steel","Inverted",80,33,689,5,"Vekoma","Walibi Belgium","status.operating"
